,nwork_1970s_2021,nwork_2022,medium_1,medium_2,medium_3,medium_4,medium_5,name_raw
121,84,0,0,0,0,0,0,"Hanssen Pigott, Gwyn"
122,240,4,0,0,0,0,0,"Harper, Melinda"
123,,,0,0,0,0,0,"Hawkes, Ponch"
124,,,0,0,0,0,0,"Healy, Claire & Cordeiro, Sean"
125,137,4,0,0,0,0,0,"Hearman, Louise"
126,5,0,0,0,0,0,0,"Hessing, Mona"
127,281,6,0,0,0,0,0,"Hester, Joy"
128,415,8,0,0,0,0,0,"Heysen, Nora"
129,13,12,0,0,0,0,0,"Hicks, Petrina"
130,19,0,0,0,0,0,0,"Hinder, Margel"
131,,,0,0,0,0,0,"Hinterding, Joyce"
132,,,0,0,0,0,0,"Hinton-Bateup, Alice"
133,,,0,0,0,0,0,"Hosking, Marion"
134,,,0,0,0,0,0,"Hosokura, Mayumi"
135,3,0,0,0,0,0,0,"Hughes, Natalya"
137,,,0,0,0,0,0,"Jackson, Linda"
138,20,10,0,0,0,0,0,"Jerrems, Carol"
139,,,0,0,0,0,0,Jillposters
140,4,2,0,0,0,0,0,"Johnson, Jess & Ward, Simon"
141,4,1,0,0,0,0,0,"Johnson, Helen"
142,12,0,0,0,0,0,0,"Jubelin, Narelle"
143,2,0,0,0,0,0,0,"Juli, Mabel"
145,"1,351",30,0,0,0,0,0,"Kame Kngwarreye, Emily"
146,179,4,0,0,0,0,0,"Kantilla, Kitty (Kutuwalumi Purawarrumpatu)"
147,177,7,0,0,0,0,0,"Kathryn Barton, Del"
148,2,1,0,0,0,0,0,"Kee, Jenny"
149,3,0,0,0,0,0,0,"Ken, Sandra"
150,15,1,0,0,0,0,0,"Ken, Tjungkara"
151,,,0,0,0,0,0,"Ken Family Collaborative,"
152,90,2,0,0,0,0,0,"King, Inge"
153,,,0,0,0,0,0,"Klose, Anastasia"
154,,,0,0,0,0,0,"Kngwarray, Rosie"
155,,,0,0,0,0,0,"Kngwarray, Lily Sandover"
156,,,0,0,0,0,0,"Kngwarray, Judy Purvis"
