,Auction House,Value Sold,Number Sold,name_raw,,sold
9,Bonhams & Goodman,"$82,800",4,"Beckett, Clarice",,82800
10,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$52,266",5,"Beckett, Clarice",,52266
11,"GFL Fine Art, Nedlands WA","$49,080",2,"Beckett, Clarice",,4980
12,"Davidson Auctions, Annandale NSW","$36,556",2,"Beckett, Clarice",,36556
13,Goodmans Auctioneers,"$20,700",1,"Beckett, Clarice",,20700
14,Joel Fine Art,"$18,153",1,"Beckett, Clarice",,18153
15,"Shapiro Auctioneers, Woollahra NSW","$15,600",1,"Beckett, Clarice",,15600
16,"Philips Auctions Australia, Malvern VIC","$12,540",1,"Beckett, Clarice",,12540
17,Mason Gray,"$4,250",1,"Beckett, Clarice",,4250
18,"Amanda Addams Auctions, Kew VIC","$4,058",1,"Beckett, Clarice",,458
19,"Lawsons, Leichhardt NSW","$2,198",3,"Beckett, Clarice",,2198
20,McCanns,"$1,265",1,"Beckett, Clarice",,1265
0,Sotheby's,"$57,392",19,"Bellette, Jean",,57392
1,Christies,"$51,635",25,"Bellette, Jean",,51635
2,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$39,607",9,"Bellette, Jean",,39607
3,"Leonard Joel, Prahran VIC","$27,384",20,"Bellette, Jean",,27384
4,"Lawsons, Leichhardt NSW","$23,847",17,"Bellette, Jean",,23847
5,"Bonhams, Woollahra NSW","$23,739",2,"Bellette, Jean",,23739
6,Deutscher~Menzies,"$23,240",6,"Bellette, Jean",,23240
7,"GFL Fine Art, Nedlands WA","$12,770",3,"Bellette, Jean",,12770
8,Bonhams & Goodman,"$11,004",2,"Bellette, Jean",,114
9,"Shapiro Auctioneers, Woollahra NSW","$7,920",4,"Bellette, Jean",,7920
10,Mason Gray,"$7,100",3,"Bellette, Jean",,7100
11,"Mossgreen Auctions, Armadale VIC","$6,904",3,"Bellette, Jean",,6904
12,Phillips Auctioneers,"$4,600",1,"Bellette, Jean",,4600
13,Goodmans Auctioneers,"$3,905",3,"Bellette, Jean",,3905
14,"Deutscher and Hackett, South Yarra VIC","$3,360",1,"Bellette, Jean",,3360
15,"Geoff K. Gray, Homebush NSW","$3,280",10,"Bellette, Jean",,3280
16,"McKenzies Auctioneers, Claremont WA","$2,070",1,"Bellette, Jean",,270
17,"Davidson Auctions, Annandale NSW","$1,888",2,"Bellette, Jean",,1888
18,"Theodore Bruce Auctions, Stanmore NSW","$1,500",2,"Bellette, Jean",,1500
19,"Philips Auctions Australia, Malvern VIC","$1,368",1,"Bellette, Jean",,1368
20,Bay East Auctions,"$1,170",3,"Bellette, Jean",,1170
21,"Gibson's Auctioneers & Valuers, Armadale Vic","$1,098",1,"Bellette, Jean",,198
22,"Vickers & Hoad Auctioneers, Waterloo NSW",$732,1,"Bellette, Jean",,732
23,Aust. Art Auctions,$523,2,"Bellette, Jean",,523
24,"Raffan Kelaher & Thomas P/L, Leichhardt NSW",$433,1,"Bellette, Jean",,433
25,Spink Auctions,$380,1,"Bellette, Jean",,380
26,Rushton Fine Arts,$275,1,"Bellette, Jean",,275
27,"Amanda Addams Auctions, Kew VIC",$234,1,"Bellette, Jean",,234
0,"Art+Object, Newton, Auckland","$15,188",2,"Beynon, Kate",,15188
0,"Shapiro Auctioneers, Woollahra NSW","$3,960",4,"Binns, Vivienne",,3960
1,Christies,$586,2,"Binns, Vivienne",,586
0,"Bonhams, Woollahra NSW","$661,694",23,"Black, Dorrit",,661694
1,"Elder Fine Art, North Adelaide SA","$378,928",36,"Black, Dorrit",,378928
2,"Deutscher and Hackett, South Yarra VIC","$358,609",9,"Black, Dorrit",,358609
3,"Leonard Joel, Prahran VIC","$328,681",49,"Black, Dorrit",,328681
4,Sotheby's,"$286,780",9,"Black, Dorrit",,286780
5,Deutscher~Menzies,"$97,872",14,"Black, Dorrit",,97872
6,Christies,"$67,984",10,"Black, Dorrit",,67984
7,"Scammell Auctions, Norwood SA","$63,505",4,"Black, Dorrit",,63505
8,"Dunbar Sloane, Wellington","$50,065",1,"Black, Dorrit",,5065
9,"Theodore Bruce Auctions, Stanmore NSW","$48,458",14,"Black, Dorrit",,48458
10,"Shapiro Auctioneers, Woollahra NSW","$31,240",4,"Black, Dorrit",,31240
11,"International Art Centre, Auckland","$31,084",1,"Black, Dorrit",,3184
12,Bonhams & Goodman,"$22,800",3,"Black, Dorrit",,22800
13,"Menzies, Kensington NSW","$13,670",3,"Black, Dorrit",,13670
14,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$11,280",3,"Black, Dorrit",,11280
15,"Lawsons, Leichhardt NSW","$8,015",7,"Black, Dorrit",,815
16,"Davidson Auctions, Annandale NSW","$7,535",3,"Black, Dorrit",,7535
17,"Mossgreen Auctions, Armadale VIC","$6,100",1,"Black, Dorrit",,6100
18,"Amanda Addams Auctions, Kew VIC","$3,509",1,"Black, Dorrit",,3509
19,"GFL Fine Art, Nedlands WA","$1,980",1,"Black, Dorrit",,1980
20,"Geoff K. Gray, Homebush NSW",$675,2,"Black, Dorrit",,675
21,"McKenzies Auctioneers, Claremont WA",$224,1,"Black, Dorrit",,224
22,Goodmans Auctioneers,$110,1,"Black, Dorrit",,110
0,"GFL Fine Art, Nedlands WA","$174,768",19,"Blumann, Elise",,174768
1,Sotheby's,"$42,975",5,"Blumann, Elise",,42975
2,Joel Fine Art,"$16,290",1,"Blumann, Elise",,16290
3,"McKenzies Auctioneers, Claremont WA","$11,485",5,"Blumann, Elise",,11485
4,Gregsons,"$11,215",4,"Blumann, Elise",,11215
5,"Davidson Auctions, Annandale NSW","$1,800",1,"Blumann, Elise",,1800
6,"Elder Fine Art, North Adelaide SA","$1,566",1,"Blumann, Elise",,1566
7,"Lawsons, Leichhardt NSW",$440,1,"Blumann, Elise",,440
0,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$9,259",6,"Borgelt, Marion",,9259
1,Christies,"$8,484",2,"Borgelt, Marion",,8484
2,Sotheby's,"$6,520",7,"Borgelt, Marion",,6520
3,"Theodore Bruce Auctions, Stanmore NSW","$5,730",3,"Borgelt, Marion",,5730
4,"Gibson's Auctioneers & Valuers, Armadale Vic","$5,124",1,"Borgelt, Marion",,5124
5,"Lawsons, Leichhardt NSW","$2,577",5,"Borgelt, Marion",,2577
6,"Shapiro Auctioneers, Woollahra NSW","$2,484",4,"Borgelt, Marion",,2484
7,"Leonard Joel, Prahran VIC","$1,560",1,"Borgelt, Marion",,1560
8,"Davidson Auctions, Annandale NSW","$1,548",3,"Borgelt, Marion",,1548
9,Bay East Auctions,"$1,200",1,"Borgelt, Marion",,1200
10,"Scammell Auctions, Norwood SA","$1,150",1,"Borgelt, Marion",,1150
11,Bonhams & Goodman,$682,2,"Borgelt, Marion",,682
12,"Amanda Addams Auctions, Kew VIC",$279,3,"Borgelt, Marion",,279
0,"Lawson~Menzies (now trading as Menzies), South Yarra VIC",$540,1,"Borland, Polly",,540
0,"Bonhams, Woollahra NSW","$227,550",2,"Bowen, Stella",,227550
1,Sotheby's,"$186,660",7,"Bowen, Stella",,186660
2,Deutscher~Menzies,"$53,625",1,"Bowen, Stella",,53625
3,"McKenzies Auctioneers, Claremont WA",$180,1,"Bowen, Stella",,180
0,"Leonard Joel, Prahran VIC","$16,585",36,"Boyd, Hermia",,16585
1,"Shapiro Auctioneers, Woollahra NSW","$3,360",1,"Boyd, Hermia",,3360
2,Bonhams & Goodman,"$2,111",2,"Boyd, Hermia",,2111
3,Christies,"$1,807",4,"Boyd, Hermia",,1807
4,"Davidson Auctions, Annandale NSW","$1,440",2,"Boyd, Hermia",,1440
5,Badgery's Auctioneers,"$1,111",3,"Boyd, Hermia",,1111
6,Goodmans Auctioneers,$782,2,"Boyd, Hermia",,782
7,"Lawson~Menzies (now trading as Menzies), South Yarra VIC",$660,1,"Boyd, Hermia",,660
8,"Lawsons, Leichhardt NSW",$610,4,"Boyd, Hermia",,610
9,"Geoff K. Gray, Homebush NSW",$140,1,"Boyd, Hermia",,140
10,"Barsby Auctions, Artarmon NSW",$105,1,"Boyd, Hermia",,105
11,Mason Gray,$50,1,"Boyd, Hermia",,50
0,"Deutscher and Hackett, South Yarra VIC","$19,315",3,"Brassington, Pat",,19315
1,Sotheby's,"$13,200",3,"Brassington, Pat",,13200
