,Auction House,Value Sold,Number Sold,name_raw,,sold
8,"GFL Fine Art, Nedlands WA","$46,105",6,"Cumbrae Stewart, Janet",,46105
9,Bonhams & Goodman,"$37,200",2,"Cumbrae Stewart, Janet",,37200
10,"Deutscher and Hackett, South Yarra VIC","$25,480",3,"Cumbrae Stewart, Janet",,25480
11,"E. J. Ainger Pty.Ltd., Richmond VIC","$25,259",3,"Cumbrae Stewart, Janet",,25259
12,"Geoff K. Gray, Homebush NSW","$25,040",8,"Cumbrae Stewart, Janet",,2540
13,"Elder Fine Art, North Adelaide SA","$19,669",2,"Cumbrae Stewart, Janet",,19669
14,Aust. Art Auctions,"$19,461",4,"Cumbrae Stewart, Janet",,19461
15,"Bonhams, Woollahra NSW","$18,270",2,"Cumbrae Stewart, Janet",,18270
16,Bay East Auctions,"$17,160",2,"Cumbrae Stewart, Janet",,17160
17,"Philips Auctions Australia, Malvern VIC","$11,856",2,"Cumbrae Stewart, Janet",,11856
18,"Shapiro Auctioneers, Woollahra NSW","$11,820",4,"Cumbrae Stewart, Janet",,11820
19,Rushton Fine Arts,"$11,500",1,"Cumbrae Stewart, Janet",,11500
20,Joel Fine Art,"$9,890",1,"Cumbrae Stewart, Janet",,9890
21,Mason Gray,"$8,000",1,"Cumbrae Stewart, Janet",,80
22,Goodmans Auctioneers,"$7,820",2,"Cumbrae Stewart, Janet",,7820
23,"Theodore Bruce Auctions, Stanmore NSW","$7,312",1,"Cumbrae Stewart, Janet",,7312
24,"Amanda Addams Auctions, Kew VIC","$6,466",2,"Cumbrae Stewart, Janet",,6466
25,Queensland Fine Art Auctions,"$5,700",1,"Cumbrae Stewart, Janet",,5700
26,"McKenzies Auctioneers, Claremont WA","$4,370",1,"Cumbrae Stewart, Janet",,4370
27,"Davidson Auctions, Annandale NSW","$3,782",3,"Cumbrae Stewart, Janet",,3782
28,Spink Auctions,"$3,400",1,"Cumbrae Stewart, Janet",,3400
29,"Gibson's Auctioneers & Valuers, Armadale Vic","$2,379",3,"Cumbrae Stewart, Janet",,2379
30,"Leski Auctions Pty. Ltd, Armadale VIC","$2,151",1,"Cumbrae Stewart, Janet",,2151
31,"William S. Ellenden, Sydney","$1,750",1,"Cumbrae Stewart, Janet",,1750
0,"Shapiro Auctioneers, Woollahra NSW","$187,155",27,"Cummings, Elisabeth",,187155
1,"Bonhams, Woollahra NSW","$72,850",5,"Cummings, Elisabeth",,72850
2,"Menzies, Kensington NSW","$66,886",5,"Cummings, Elisabeth",,66886
3,"Leonard Joel, Prahran VIC","$40,895",5,"Cummings, Elisabeth",,40895
4,"Deutscher and Hackett, South Yarra VIC","$39,040",3,"Cummings, Elisabeth",,3940
5,"Davidson Auctions, Annandale NSW","$31,680",18,"Cummings, Elisabeth",,31680
6,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$29,561",6,"Cummings, Elisabeth",,29561
7,Sotheby's,"$22,270",4,"Cummings, Elisabeth",,22270
8,Bonhams & Goodman,"$11,400",1,"Cummings, Elisabeth",,11400
9,"Elder Fine Art, North Adelaide SA","$11,332",5,"Cummings, Elisabeth",,11332
10,"Raffan Kelaher & Thomas P/L, Leichhardt NSW","$9,115",2,"Cummings, Elisabeth",,9115
11,"Lawsons, Leichhardt NSW","$7,545",15,"Cummings, Elisabeth",,7545
12,"Scammell Auctions, Norwood SA","$4,600",1,"Cummings, Elisabeth",,4600
13,Phillips Auctioneers,"$4,255",3,"Cummings, Elisabeth",,4255
14,"Colville Auctions Pty. Ltd., Hobart TAS","$2,160",1,"Cummings, Elisabeth",,2160
15,Queensland Fine Art Auctions,"$1,750",1,"Cummings, Elisabeth",,1750
16,"Graysonline, Homebush NSW","$1,151",1,"Cummings, Elisabeth",,1151
17,Christies,$970,2,"Cummings, Elisabeth",,970
18,Aust. Art Auctions,$910,3,"Cummings, Elisabeth",,910
19,"Amanda Addams Auctions, Kew VIC",$696,2,"Cummings, Elisabeth",,696
20,Goodmans Auctioneers,$380,2,"Cummings, Elisabeth",,380
21,Badgery's Auctioneers,$348,1,"Cummings, Elisabeth",,348
0,"Mossgreen Auctions, Armadale VIC","$23,424",6,"Cuppaidge, Virginia",,23424
1,"Leonard Joel, Prahran VIC","$1,705",1,"Cuppaidge, Virginia",,1705
2,"Shapiro Auctioneers, Woollahra NSW","$1,680",1,"Cuppaidge, Virginia",,1680
3,"Graysonline, Homebush NSW",$815,1,"Cuppaidge, Virginia",,815
4,"Lawsons, Leichhardt NSW",$55,1,"Cuppaidge, Virginia",,55
0,"Mossgreen Auctions, Armadale VIC","$23,424",6,"Cuppaidge, Virginia",,23424
1,"Leonard Joel, Prahran VIC","$1,705",1,"Cuppaidge, Virginia",,1705
2,"Shapiro Auctioneers, Woollahra NSW","$1,680",1,"Cuppaidge, Virginia",,1680
3,"Graysonline, Homebush NSW",$815,1,"Cuppaidge, Virginia",,815
4,"Lawsons, Leichhardt NSW",$55,1,"Cuppaidge, Virginia",,55
0,"Mossgreen Auctions, Armadale VIC","$23,424",6,"Cuppaidge, Virginia",,23424
1,"Leonard Joel, Prahran VIC","$1,705",1,"Cuppaidge, Virginia",,1705
2,"Shapiro Auctioneers, Woollahra NSW","$1,680",1,"Cuppaidge, Virginia",,1680
3,"Graysonline, Homebush NSW",$815,1,"Cuppaidge, Virginia",,815
4,"Lawsons, Leichhardt NSW",$55,1,"Cuppaidge, Virginia",,55
0,"Gibson's Auctioneers & Valuers, Armadale Vic","$3,538",2,"Davies, Isabel",,3538
1,"Leonard Joel, Prahran VIC","$2,870",2,"Davies, Isabel",,2870
2,Christies,"$1,195",1,"Davies, Isabel",,1195
3,"Leski Auctions Pty. Ltd, Armadale VIC","$1,016",1,"Davies, Isabel",,116
4,Sotheby's,$862,2,"Davies, Isabel",,862
5,"Lawsons, Leichhardt NSW",$736,1,"Davies, Isabel",,736
6,"Davidson Auctions, Annandale NSW",$240,1,"Davies, Isabel",,240
7,Mason Gray,$50,1,"Davies, Isabel",,50
0,Sotheby's,"$71,306",11,"Dawson, Janet",,71306
1,"Shapiro Auctioneers, Woollahra NSW","$20,438",7,"Dawson, Janet",,20438
2,Christies,"$19,630",7,"Dawson, Janet",,19630
3,"Davidson Auctions, Annandale NSW","$10,977",2,"Dawson, Janet",,10977
4,Deutscher~Menzies,"$7,371",4,"Dawson, Janet",,7371
5,"Leonard Joel, Prahran VIC","$6,810",11,"Dawson, Janet",,6810
6,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$6,463",1,"Dawson, Janet",,6463
7,"Lawsons, Leichhardt NSW","$4,906",7,"Dawson, Janet",,4906
8,"Mossgreen Auctions, Armadale VIC","$4,697",8,"Dawson, Janet",,4697
9,"E. J. Ainger Pty.Ltd., Richmond VIC","$1,740",1,"Dawson, Janet",,1740
10,Badgery's Auctioneers,$927,3,"Dawson, Janet",,927
11,"Bonhams, Woollahra NSW",$915,1,"Dawson, Janet",,915
12,"Canberra Art & Antique Auctions, Fyshwick ACT",$855,1,"Dawson, Janet",,855
13,"Gibson's Auctioneers & Valuers, Armadale Vic",$561,1,"Dawson, Janet",,561
14,"McKenzies Auctioneers, Claremont WA",$518,1,"Dawson, Janet",,518
15,Warren J. Elstub Pty. Ltd.,$345,1,"Dawson, Janet",,345
16,Aust. Art Auctions,$220,1,"Dawson, Janet",,220
0,"Deutscher and Hackett, South Yarra VIC","$148,080",5,"de Medici, eX",,14880
1,"Menzies, Kensington NSW","$84,000",3,"de Medici, eX",,840
2,"Bonhams, Woollahra NSW","$31,320",2,"de Medici, eX",,31320
0,"Deutscher and Hackett, South Yarra VIC","$42,338",7,"Deacon, Destiny",,42338
1,Sotheby's,"$24,974",6,"Deacon, Destiny",,24974
2,"Mossgreen Auctions, Armadale VIC","$11,904",3,"Deacon, Destiny",,11904
3,"Leonard Joel, Prahran VIC","$8,823",2,"Deacon, Destiny",,8823
4,"Menzies, Kensington NSW","$7,364",1,"Deacon, Destiny",,7364
5,"Cooee Art, Bondi Beach NSW","$5,280",1,"Deacon, Destiny",,5280
6,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$4,295",1,"Deacon, Destiny",,4295
7,Deutscher~Menzies,"$1,320",1,"Deacon, Destiny",,1320
0,"Deutscher and Hackett, South Yarra VIC","$42,338",7,"Deacon, Destiny",,42338
1,Sotheby's,"$24,974",6,"Deacon, Destiny",,24974
2,"Mossgreen Auctions, Armadale VIC","$11,904",3,"Deacon, Destiny",,11904
3,"Leonard Joel, Prahran VIC","$8,823",2,"Deacon, Destiny",,8823
4,"Menzies, Kensington NSW","$7,364",1,"Deacon, Destiny",,7364
5,"Cooee Art, Bondi Beach NSW","$5,280",1,"Deacon, Destiny",,5280
6,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$4,295",1,"Deacon, Destiny",,4295
7,Deutscher~Menzies,"$1,320",1,"Deacon, Destiny",,1320
0,"Canberra Art & Antique Auctions, Fyshwick ACT","$1,042",1,"Debenham, Pam",,142
1,"Leski Auctions Pty. Ltd, Armadale VIC",$215,1,"Debenham, Pam",,215
0,Bonhams & Goodman,"$3,816",5,"Dickens, Karla",,3816
1,Phillips Auctioneers,$575,1,"Dickens, Karla",,575
0,Deutscher~Menzies,"$75,387",5,"Dowling, Julie",,75387
1,"GFL Fine Art, Nedlands WA","$55,860",10,"Dowling, Julie",,55860
2,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$37,531",8,"Dowling, Julie",,37531
3,"Deutscher and Hackett, South Yarra VIC","$26,100",5,"Dowling, Julie",,26100
4,"Leonard Joel, Prahran VIC","$23,711",10,"Dowling, Julie",,23711
5,"Bonhams, Woollahra NSW","$21,960",3,"Dowling, Julie",,21960
6,"McKenzies Auctioneers, Claremont WA","$18,130",7,"Dowling, Julie",,18130
7,"Menzies, Kensington NSW","$12,273",1,"Dowling, Julie",,12273
8,"Artmarketspace, South Yarra Vic","$8,540",1,"Dowling, Julie",,8540
9,"Mossgreen Auctions, Armadale VIC","$4,392",2,"Dowling, Julie",,4392
10,"Lawsons, Leichhardt NSW",$760,2,"Dowling, Julie",,760
0,"Leonard Joel, Prahran VIC","$37,762",21,"Dumbrell, Lesley",,37762
1,Sotheby's,"$27,522",9,"Dumbrell, Lesley",,27522
2,Christies,"$11,790",2,"Dumbrell, Lesley",,11790
3,"Shapiro Auctioneers, Woollahra NSW","$7,620",2,"Dumbrell, Lesley",,7620
4,Deutscher~Menzies,"$5,268",3,"Dumbrell, Lesley",,5268
5,Joel Fine Art,"$4,726",1,"Dumbrell, Lesley",,4726
6,"Mossgreen Auctions, Armadale VIC","$2,910",2,"Dumbrell, Lesley",,2910
7,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$1,987",3,"Dumbrell, Lesley",,1987
8,"Lawsons, Leichhardt NSW","$1,253",4,"Dumbrell, Lesley",,1253
9,Bay East Auctions,"$1,200",1,"Dumbrell, Lesley",,1200
10,"Davidson Auctions, Annandale NSW",$104,1,"Dumbrell, Lesley",,104
0,"Art+Object, Newton, Auckland","$3,787",6,"Dwyer, Mikala",,3787
1,Sotheby's,"$2,400",1,"Dwyer, Mikala",,2400
2,"Webb's, Mt Eden, Auckland","$2,234",5,"Dwyer, Mikala",,2234
3,"Mossgreen Auctions, Armadale VIC",$671,1,"Dwyer, Mikala",,671
4,Christies,$646,1,"Dwyer, Mikala",,646
0,"Art+Object, Newton, Auckland","$3,787",6,"Dwyer, Mikala",,3787
1,Sotheby's,"$2,400",1,"Dwyer, Mikala",,2400
2,"Webb's, Mt Eden, Auckland","$2,234",5,"Dwyer, Mikala",,2234
3,"Mossgreen Auctions, Armadale VIC",$671,1,"Dwyer, Mikala",,671
4,Christies,$646,1,"Dwyer, Mikala",,646
0,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$13,763",4,"Eager, Helen",,13763
1,Bonhams & Goodman,"$9,068",7,"Eager, Helen",,968
2,Sotheby's,"$7,749",2,"Eager, Helen",,7749
3,Christies,"$3,450",1,"Eager, Helen",,3450
4,"Shapiro Auctioneers, Woollahra NSW","$3,066",3,"Eager, Helen",,366
5,"Mossgreen Auctions, Armadale VIC","$1,364",1,"Eager, Helen",,1364
6,"Lawsons, Leichhardt NSW","$1,348",3,"Eager, Helen",,1348
7,"Theodore Bruce Auctions, Stanmore NSW",$156,2,"Eager, Helen",,156
8,"GFL Fine Art, Nedlands WA",$154,1,"Eager, Helen",,154
9,Gregsons,$90,1,"Eager, Helen",,90
10,"Graysonline, Homebush NSW",$66,2,"Eager, Helen",,66
0,"Geoff K. Gray, Homebush NSW","$4,350",9,"Edwell, Bernice",,4350
1,"Lawsons, Leichhardt NSW","$1,680",2,"Edwell, Bernice",,1680
2,"Leski Auctions Pty. Ltd, Armadale VIC","$1,265",1,"Edwell, Bernice",,1265
3,Christies,$550,1,"Edwell, Bernice",,550
4,"Leonard Joel, Prahran VIC",$532,4,"Edwell, Bernice",,532
5,"E. J. Ainger Pty.Ltd., Richmond VIC",$161,1,"Edwell, Bernice",,161
0,Christies,$897,3,"Ely, Bonita",,897
1,"Leonard Joel, Prahran VIC",$216,1,"Ely, Bonita",,216
2,"Mossgreen Auctions, Armadale VIC",$174,1,"Ely, Bonita",,174
0,"Davidson Auctions, Annandale NSW",$180,1,"Englund, Patricia",,180
0,"Deutscher and Hackett, South Yarra VIC","$2,640",1,"Fahd, Cherine",,2640
1,"Cooee Art, Bondi Beach NSW","$1,800",1,"Fahd, Cherine",,1800
2,Sotheby's,"$1,200",1,"Fahd, Cherine",,1200
3,Artemis Auctions,$780,1,"Fahd, Cherine",,780
0,"Deutscher and Hackett, South Yarra VIC","$34,364",1,"Ferran, Anne",,34364
1,Christies,"$2,350",1,"Ferran, Anne",,2350
2,"Davidson Auctions, Annandale NSW",$720,1,"Ferran, Anne",,720
0,"Deutscher and Hackett, South Yarra VIC","$34,364",1,"Ferran, Anne",,34364
1,Christies,"$2,350",1,"Ferran, Anne",,2350
2,"Davidson Auctions, Annandale NSW",$720,1,"Ferran, Anne",,720
0,Bonhams & Goodman,"$5,640",1,"Floyd, Emily",,5640
1,"Menzies, Kensington NSW","$4,909",1,"Floyd, Emily",,4909
2,"Leonard Joel, Prahran VIC","$3,411",1,"Floyd, Emily",,3411
3,Deutscher~Menzies,"$2,640",1,"Floyd, Emily",,2640
0,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$8,880",3,"Foley, Fiona",,8880
1,"Deutscher and Hackett, South Yarra VIC","$4,320",1,"Foley, Fiona",,4320
2,"Menzies, Kensington NSW","$3,927",1,"Foley, Fiona",,3927
3,Christies,"$2,820",1,"Foley, Fiona",,2820
4,"Lawsons, Leichhardt NSW",$767,2,"Foley, Fiona",,767
5,"Shapiro Auctioneers, Woollahra NSW",$705,1,"Foley, Fiona",,705
6,Sotheby's,$575,1,"Foley, Fiona",,575
7,"Theodore Bruce Auctions, Stanmore NSW",$240,1,"Foley, Fiona",,240
8,"Leski Auctions Pty. Ltd, Armadale VIC",$191,1,"Foley, Fiona",,191
0,"Leonard Joel, Prahran VIC","$9,082",5,"Ford, Sue",,982
1,Christies,"$2,115",1,"Ford, Sue",,2115
0,Sotheby's,"$170,400",6,"Funaki, Mari",,170400
1,"Mossgreen Auctions, Armadale VIC","$71,920",3,"Funaki, Mari",,71920
2,"Deutscher and Hackett, South Yarra VIC","$12,273",1,"Funaki, Mari",,12273
3,"Menzies, Kensington NSW","$12,273",1,"Funaki, Mari",,12273
0,Sotheby's,"$170,400",6,"Funaki, Mari",,170400
1,"Mossgreen Auctions, Armadale VIC","$71,920",3,"Funaki, Mari",,71920
2,"Deutscher and Hackett, South Yarra VIC","$12,273",1,"Funaki, Mari",,12273
3,"Menzies, Kensington NSW","$12,273",1,"Funaki, Mari",,12273
0,"Deutscher and Hackett, South Yarra VIC","$3,217,524",27,"Gascoigne, Rosalie",,3217524
1,Sotheby's,"$3,163,326",40,"Gascoigne, Rosalie",,3163326
2,Deutscher~Menzies,"$2,160,770",25,"Gascoigne, Rosalie",,2160770
3,"Bonhams, Woollahra NSW","$1,638,460",12,"Gascoigne, Rosalie",,1638460
4,"Menzies, Kensington NSW","$1,393,084",13,"Gascoigne, Rosalie",,139384
5,Christies,"$1,351,255",19,"Gascoigne, Rosalie",,1351255
6,"Art+Object, Newton, Auckland","$539,348",4,"Gascoigne, Rosalie",,539348
7,"Smith & Singer, Vic","$447,955",3,"Gascoigne, Rosalie",,447955
8,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$371,536",4,"Gascoigne, Rosalie",,371536
9,"Mossgreen Auctions, Armadale VIC","$313,580",3,"Gascoigne, Rosalie",,313580
10,"Shapiro Auctioneers, Woollahra NSW","$53,788",4,"Gascoigne, Rosalie",,53788
11,Goodmans Auctioneers,"$35,650",3,"Gascoigne, Rosalie",,35650
12,"Lawsons, Leichhardt NSW","$32,407",2,"Gascoigne, Rosalie",,32407
13,"Elder Fine Art, North Adelaide SA","$29,920",1,"Gascoigne, Rosalie",,29920
14,"Leonard Joel, Prahran VIC","$21,442",2,"Gascoigne, Rosalie",,21442
15,"Webb's, Mt Eden, Auckland","$18,614",1,"Gascoigne, Rosalie",,18614
16,Phillips Auctioneers,"$15,140",2,"Gascoigne, Rosalie",,15140
0,"Shapiro Auctioneers, Woollahra NSW","$167,075",17,"Gazzard, Marea",,16775
1,"Bonhams, Woollahra NSW","$7,930",1,"Gazzard, Marea",,7930
2,"Mossgreen Auctions, Armadale VIC","$4,947",2,"Gazzard, Marea",,4947
3,Bonhams & Goodman,"$2,988",1,"Gazzard, Marea",,2988
4,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$1,740",3,"Gazzard, Marea",,1740
5,Christies,$300,1,"Gazzard, Marea",,300
6,"Leonard Joel, Prahran VIC",$70,1,"Gazzard, Marea",,70
0,"Webb's, Mt Eden, Auckland","$10,771",3,"Georgetti, Diena",,10771
1,"Lawsons, Leichhardt NSW","$4,295",1,"Georgetti, Diena",,4295
2,"Davidson Auctions, Annandale NSW",$956,2,"Georgetti, Diena",,956
3,Christies,$115,1,"Georgetti, Diena",,115
0,Sotheby's,"$40,596",5,"Gill, Simryn",,40596
0,Sotheby's,"$11,025",3,"Goodsir, Agnes",,1125
1,Deutscher~Menzies,"$9,330",3,"Goodsir, Agnes",,9330
2,"Colville Auctions Pty. Ltd., Hobart TAS","$9,000",1,"Goodsir, Agnes",,90
3,"McKenzies Auctioneers, Claremont WA","$7,590",1,"Goodsir, Agnes",,7590
4,Christies,"$4,330",6,"Goodsir, Agnes",,4330
5,"Leonard Joel, Prahran VIC","$3,370",5,"Goodsir, Agnes",,3370
6,"Lawsons, Leichhardt NSW","$2,850",2,"Goodsir, Agnes",,2850
7,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$2,160",1,"Goodsir, Agnes",,2160
8,Aust. Art Auctions,$550,1,"Goodsir, Agnes",,550
9,"Geoff K. Gray, Homebush NSW",$120,1,"Goodsir, Agnes",,120
0,"Menzies, Kensington NSW","$3,191",1,"Gothe-Snape, Agatha",,3191
1,"Bonhams, Woollahra NSW","$1,708",1,"Gothe-Snape, Agatha",,1708
0,Christies,"$14,951",6,"Gower, Elizabeth",,14951
1,"Shapiro Auctioneers, Woollahra NSW","$4,700",1,"Gower, Elizabeth",,4700
2,"Leonard Joel, Prahran VIC","$3,324",3,"Gower, Elizabeth",,3324
3,Sotheby's,"$2,146",3,"Gower, Elizabeth",,2146
4,"Mossgreen Auctions, Armadale VIC","$1,891",2,"Gower, Elizabeth",,1891
5,"Lawsons, Leichhardt NSW",$702,1,"Gower, Elizabeth",,702
6,"Davidson Auctions, Annandale NSW",$472,1,"Gower, Elizabeth",,472
0,"Mossgreen Auctions, Armadale VIC","$11,840",3,"Hagerty, Marie",,11840
1,"Leonard Joel, Prahran VIC","$3,888",3,"Hagerty, Marie",,3888
2,"Canberra Art & Antique Auctions, Fyshwick ACT","$3,568",1,"Hagerty, Marie",,3568
3,"Lawsons, Leichhardt NSW","$1,473",1,"Hagerty, Marie",,1473
4,"Deutscher and Hackett, South Yarra VIC","$1,440",1,"Hagerty, Marie",,1440
5,"Theodore Bruce Auctions, Stanmore NSW","$1,200",1,"Hagerty, Marie",,1200
6,Deutscher~Menzies,$840,1,"Hagerty, Marie",,840
0,"Deutscher and Hackett, South Yarra VIC","$133,694",11,"Hall, Fiona",,133694
1,"Mossgreen Auctions, Armadale VIC","$44,247",12,"Hall, Fiona",,44247
2,Christies,"$9,111",3,"Hall, Fiona",,9111
3,"Art+Object, Newton, Auckland","$6,931",3,"Hall, Fiona",,6931
4,Sotheby's,"$6,518",4,"Hall, Fiona",,6518
5,"Leonard Joel, Prahran VIC","$6,265",7,"Hall, Fiona",,6265
6,"Shapiro Auctioneers, Woollahra NSW","$4,440",4,"Hall, Fiona",,4440
7,Deutscher~Menzies,"$3,360",1,"Hall, Fiona",,3360
8,"Bonhams, Woollahra NSW","$2,440",1,"Hall, Fiona",,2440
9,Phillips Auctioneers,$172,1,"Hall, Fiona",,172
0,"Elder Fine Art, North Adelaide SA","$62,060",71,"Hanrahan, Barbara",,6260
1,"Scammell Auctions, Norwood SA","$20,183",16,"Hanrahan, Barbara",,20183
2,"Leonard Joel, Prahran VIC","$9,891",18,"Hanrahan, Barbara",,9891
3,"Theodore Bruce Auctions, Stanmore NSW","$8,950",15,"Hanrahan, Barbara",,8950
4,"Small & Whitfield Auctions, Parkside SA","$6,785",4,"Hanrahan, Barbara",,6785
5,Bonhams & Goodman,"$4,599",7,"Hanrahan, Barbara",,4599
6,"Davidson Auctions, Annandale NSW","$3,853",6,"Hanrahan, Barbara",,3853
7,"Lawsons, Leichhardt NSW","$2,686",6,"Hanrahan, Barbara",,2686
8,Deutscher~Menzies,"$1,997",1,"Hanrahan, Barbara",,1997
9,"Lawson~Menzies (now trading as Menzies), South Yarra VIC",$588,1,"Hanrahan, Barbara",,588
10,"Raffan Kelaher & Thomas P/L, Leichhardt NSW",$357,1,"Hanrahan, Barbara",,357
11,Cromwell's Sydney,$345,1,"Hanrahan, Barbara",,345
12,Aust. Art Auctions,$115,1,"Hanrahan, Barbara",,115
0,"Deutscher and Hackett, South Yarra VIC","$441,253",14,"Hanssen Pigott, Gwyn",,441253
1,Sotheby's,"$75,560",4,"Hanssen Pigott, Gwyn",,75560
2,Deutscher~Menzies,"$52,320",3,"Hanssen Pigott, Gwyn",,52320
3,"Bonhams, Woollahra NSW","$50,880",3,"Hanssen Pigott, Gwyn",,50880
4,"Mossgreen Auctions, Armadale VIC","$39,516",7,"Hanssen Pigott, Gwyn",,39516
5,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$33,600",1,"Hanssen Pigott, Gwyn",,33600
6,Bonhams & Goodman,"$20,400",1,"Hanssen Pigott, Gwyn",,20400
7,"Menzies, Kensington NSW","$18,590",5,"Hanssen Pigott, Gwyn",,18590
8,"Shapiro Auctioneers, Woollahra NSW","$12,297",3,"Hanssen Pigott, Gwyn",,12297
9,"Lawsons, Leichhardt NSW","$8,986",6,"Hanssen Pigott, Gwyn",,8986
10,"Art+Object, Newton, Auckland","$5,249",2,"Hanssen Pigott, Gwyn",,5249
11,"Colville Auctions Pty. Ltd., Hobart TAS","$4,440",2,"Hanssen Pigott, Gwyn",,4440
12,"Leonard Joel, Prahran VIC","$4,122",3,"Hanssen Pigott, Gwyn",,4122
13,"Artmarketspace, South Yarra Vic","$3,050",1,"Hanssen Pigott, Gwyn",,350
14,"Elder Fine Art, North Adelaide SA","$2,900",2,"Hanssen Pigott, Gwyn",,2900
15,"Theodore Bruce Auctions, Stanmore NSW","$1,725",1,"Hanssen Pigott, Gwyn",,1725
16,"Davidson Auctions, Annandale NSW","$1,174",3,"Hanssen Pigott, Gwyn",,1174
0,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$195,420",31,"Harper, Melinda",,195420
1,"Leonard Joel, Prahran VIC","$149,266",45,"Harper, Melinda",,149266
2,Deutscher~Menzies,"$111,875",13,"Harper, Melinda",,111875
3,"Shapiro Auctioneers, Woollahra NSW","$72,710",12,"Harper, Melinda",,72710
4,Christies,"$68,334",9,"Harper, Melinda",,68334
5,"Deutscher and Hackett, South Yarra VIC","$55,080",9,"Harper, Melinda",,5580
6,Joel Fine Art,"$45,951",6,"Harper, Melinda",,45951
7,"Mossgreen Auctions, Armadale VIC","$45,036",9,"Harper, Melinda",,4536
8,Sotheby's,"$30,960",4,"Harper, Melinda",,30960
9,Bonhams & Goodman,"$16,200",2,"Harper, Melinda",,16200
10,"Lawsons, Leichhardt NSW","$14,036",5,"Harper, Melinda",,1436
11,"Graysonline, Homebush NSW","$13,980",3,"Harper, Melinda",,13980
12,"Davidson Auctions, Annandale NSW","$12,355",6,"Harper, Melinda",,12355
13,"Art+Object, Newton, Auckland","$8,729",4,"Harper, Melinda",,8729
14,Artemis Auctions,"$7,200",1,"Harper, Melinda",,7200
15,"Leski Auctions Pty. Ltd, Armadale VIC","$5,520",2,"Harper, Melinda",,5520
16,"GFL Fine Art, Nedlands WA","$4,313",1,"Harper, Melinda",,4313
17,"Menzies, Kensington NSW","$3,989",1,"Harper, Melinda",,3989
18,"Bonhams, Woollahra NSW","$3,050",1,"Harper, Melinda",,350
19,"Elder Fine Art, North Adelaide SA","$2,472",1,"Harper, Melinda",,2472
20,"Gibson's Auctioneers & Valuers, Armadale Vic",$915,1,"Harper, Melinda",,915
0,Deutscher~Menzies,"$86,167",13,"Hearman, Louise",,86167
1,Christies,"$80,911",12,"Hearman, Louise",,80911
2,"Bonhams, Woollahra NSW","$64,805",7,"Hearman, Louise",,64805
3,"Menzies, Kensington NSW","$53,755",6,"Hearman, Louise",,53755
4,"Leonard Joel, Prahran VIC","$40,369",10,"Hearman, Louise",,40369
5,"Deutscher and Hackett, South Yarra VIC","$28,856",7,"Hearman, Louise",,28856
6,Sotheby's,"$26,765",6,"Hearman, Louise",,26765
7,"Shapiro Auctioneers, Woollahra NSW","$15,240",4,"Hearman, Louise",,15240
8,"Lawsons, Leichhardt NSW","$15,198",6,"Hearman, Louise",,15198
9,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$11,727",4,"Hearman, Louise",,11727
10,"Mossgreen Auctions, Armadale VIC","$10,740",6,"Hearman, Louise",,10740
11,Bonhams & Goodman,"$10,200",1,"Hearman, Louise",,10200
12,"Davidson Auctions, Annandale NSW",$840,1,"Hearman, Louise",,840
0,"Lawsons, Leichhardt NSW","$2,920",2,"Hessing, Mona",,2920
1,"Davidson Auctions, Annandale NSW",$216,1,"Hessing, Mona",,216
0,Christies,"$690,265",39,"Hester, Joy",,690265
1,"Leonard Joel, Prahran VIC","$450,635",33,"Hester, Joy",,450635
2,Deutscher~Menzies,"$421,915",18,"Hester, Joy",,421915
3,Sotheby's,"$373,118",33,"Hester, Joy",,373118
4,"Bonhams, Woollahra NSW","$314,220",3,"Hester, Joy",,314220
5,"Deutscher and Hackett, South Yarra VIC","$162,515",7,"Hester, Joy",,162515
6,"Menzies, Kensington NSW","$157,773",11,"Hester, Joy",,157773
7,"Mossgreen Auctions, Armadale VIC","$89,060",3,"Hester, Joy",,8960
8,"Artmarketspace, South Yarra Vic","$22,800",1,"Hester, Joy",,22800
9,"Shapiro Auctioneers, Woollahra NSW","$20,760",3,"Hester, Joy",,20760
10,Joel Fine Art,"$17,454",1,"Hester, Joy",,17454
11,"Lawsons, Leichhardt NSW","$11,231",4,"Hester, Joy",,11231
12,"GFL Fine Art, Nedlands WA","$11,000",1,"Hester, Joy",,110
13,Cromwell's Sydney,"$8,512",2,"Hester, Joy",,8512
14,Bonhams & Goodman,"$6,000",1,"Hester, Joy",,60
15,"Leski Auctions Pty. Ltd, Armadale VIC","$2,875",1,"Hester, Joy",,2875
